"OBJECTID","Season_longshort","DEM_IA","TPI_IA","Slope_IA","d2water_IA","d2edge_IA","d2Landfills_IA","d2Feedlots_IA","d2streets","d2nestsV2_IA","northness","month_factor","risk_class","risk_name","validation_set"
2725509,"Dispersal/migration",229.74,0.01,0.05,0,237.4,11203.84,3835.18,226.68,753.29,0.985584766909561,"Jun",0,"Low","Train"
1403793,"Fledgling period",280.34,-0.22,0.55,6.91,7.3,13331.3,1966.93,394.48,583.21,-0.958698082843669,"Aug",2,"High","Test"
556960,"Dispersal/migration",330.52,4.43,5.91,1250.93,0,15543.21,3456.01,509.18,2139.79,-0.99999873172754,"Aug",0,"Low","Train"
1120710,"Local movements",186.57,0.009989499,0.29,291.36,22.13,17156.93,5284.26,504.37,1936.59,-0.278650800359055,"Mar",2,"High","Train"
1135477,"Local movements",208.59,1.02,4.4,54.43,4.85,5455.17,3655.67,516.63,10526.36,0.238476053433723,"Jan",2,"High","Train"
1514768,"Dispersal/migration",228.23,0.12,0.46,25.16,876.81,17963.27,5795.95,1148.37,6436.98,0.169967142900241,"Sep",2,"High","Train"
616668,"Local movements",242.62,-0.39,6.16,3655.17,789.56,3217.04,9319.14,231.69,5537.81,-0.763815202077774,"Oct",1,"Moderate","Train"
2395524,"Local movements",304.23,0.07,0.17,2.52,35.67,11753.92,4198.82,991.35,1673.53,0.993956097956697,"Apr",2,"High","Test"
1999373,"Local movements",255.53,-0.27,0.49,664.06,497.24,10474.96,5618.21,67.04,5087.8,-0.304300171059833,"Mar",0,"Low","Train"
1550650,"Dispersal/migration",233.73,0.05,0.16,29.6,-70.03,11658.83,3476.49,909.44,837.1,-0.7573228,"Aug",2,"High","Train"
1230097,"Dispersal/migration",299.73,0.41,0.99,2373.68,872.47,10626.78,1082.52,317.05,10669.51,0.497571047891727,"Aug",0,"Low","Train"
481993,"Dispersal/migration",366.89,0.08,0.41,8742.82,1579.42,16812.72,1262.53,510.03,10565.06,0.703845315652236,"Mar",2,"High","Test"
1597153,"Local movements",250.39,-0.04,0.56,217.11,30.52,13684.42,8150.14,1065.09,1029.57,-0.867026721445802,"Oct",2,"High","Test"
1959143,"Local movements",227.7,-0.23,0.24,0.9,89.54,20653.32,1623.84,174.63,447.42,0.946042343528387,"Mar",2,"High","Train"
1531450,"Dispersal/migration",241.62,-1.87,4.83,425.38,-11.68,11550.8,8041.43,57.93,2602.67,-0.588501117255346,"Sep",2,"High","Train"
2314129,"Local movements",271.62,-2.97,21.5,659.58,-81.28,24731.02,6276.27,158.37,3794.81,0.176678681496857,"Apr",2,"High","Train"
670497,"Local movements",252.73,-1.71,5.48,4805.81,-91.22,7750.1,3282.76,200.13,5773.17,0.494805518914805,"Nov",0,"Low","Train"
1523128,"Dispersal/migration",238.39,-0.79,9.96,57.69,6.75,20099.19,1908.93,789.11,1024.27,-0.909628527357945,"Sep",2,"High","Test"
1248849,"Fledgling period",283.03,0.28,0.63,4604.84,357.74,16293.62,492.97,40.19,136.55,-0.830053535235222,"Jul",2,"High","Train"
2102652,"Local movements",307.85,-0.07,0.38,269.52,-60.55,11462.85,1778.15,670.6,4565.47,-0.999766887712928,"Mar",2,"High","Train"
636976,"Local movements",248.54,-0.01,1.17,1005.66,369.85,714.99,1395.74,41.29,12500.82,0.529160608205695,"May",0,"Low","Test"
2541070,"Local movements",225.58,-0.45,3.13,541.24,-7.38,10986.29,1740.84,385.88,1157.88,0.506220257232778,"May",0,"Low","Train"
204363,"Local movements",178.17,0.18,0.45,21.61,-3.48,19058.32,6576.52,752.58,1048.88,-0.443234415665709,"Oct",2,"High","Train"
2078702,"Local movements",248.53,0.72,3.55,378.08,-3.23,2372.18,6643.7,10.74,195.03,-0.73277355485212,"Mar",1,"Moderate","Train"
1574830,"Fledgling period",229.07,-2.64,4.03,32.02,8.65,20565.71,1881.98,381.1,579.32,0.179812977673,"Jul",0,"Low","Train"
2135010,"Local movements",320.6,-0.02,0.29,2661.35,1958.62,20855.18,1764.02,56.8,11657.99,0.405577939976361,"Mar",1,"Moderate","Train"
309292,"Local movements",238.19,-0.18,0.56,5033.62,149.2,5422.91,3967.85,34.12,16689.91,-0.83733440097388,"Mar",0,"Low","Test"
410517,"Local movements",180.37,0.02,1.04,102.77,36.91,24101.2,5017.61,367.01,706.84,-0.989992496600445,"Mar",0,"Low","Test"
822704,"Local movements",244.06,0.5,2.15,1721.46,54.36,19035.42,380.31,70.61,4085.34,-0.388684753364752,"Oct",0,"Low","Test"
1834627,"Local movements",194.24,0.003124953,0.03,58.62,76.35,32473.25,6983.88,813.56,2777.67,-0.63837785564066,"Feb",2,"High","Train"
142069,"Fledgling period",229.52,0.3,6.62,108.28,-98.9,9854.38,14988.26,242.08,612.62,-0.168397447949077,"Jul",2,"High","Train"
1923799,"Local movements",244.62,-2.37,5.84,349.11,-54.09,12125.16,7366.74,349.06,994.32,-0.0123886634628906,"Mar",2,"High","Test"
19165,"Dispersal/migration",151.5,0.01,0.14,418.43,237.44,3818.06,16020.48,1396.93,3236.62,-0.313810559358882,"Mar",2,"High","Train"
165597,"Local movements",224.58,0.02,1.23,4058.84,3820.25,12052.87,814.72,191.39,15620.04,0.503470671402114,"Oct",0,"Low","Test"
975513,"Local movements",223.78,-0.19,1.63,698.3,446.33,16843.49,1800.05,250.74,1276.24,-0.275590246824513,"Oct",2,"High","Train"
323448,"Fledgling period",171.77,0.01,0.45,83.34,-49.67,9717.75,10246.64,432.05,268.51,0.619111682179599,"Jul",2,"High","Train"
2127284,"Local movements",259.63,-0.17,3.95,1342.59,-191.98,2829.28,5236.56,234.47,1648.55,0.644826547240001,"Mar",2,"High","Train"
1379313,"Local movements",163.3,0.03,0.1,1759.67,1240.2,19310.09,441.14,21.89,1797.18,-0.883081283265026,"Aug",2,"High","Test"
1723744,"Local movements",341.18,2.13,10.11,1448.09,-69.16,16060.25,10627.86,73.91,380.7,0.423776817679428,"Nov",2,"High","Test"
2064292,"Dispersal/migration",324.99,-2.32,6.26,3727.07,99.98,12321.03,2769.91,248.15,4618.58,0.25785003253267,"Mar",0,"Low","Test"
1586746,"Local movements",303.16,0.55,2.68,1228.97,495.34,15132.59,10274.5,68.69,8032.05,-0.622856747787041,"Oct",2,"High","Test"
1935585,"Local movements",316.04,1.25,3,1968.53,-20.53,21274.48,2796.31,560.38,2679.32,-0.18807683889288,"Mar",0,"Low","Train"
507388,"Local movements",214.33,-0.26,1.44,445.93,-38.71,12148.24,11950.62,131.9,4059.2,0.899057037810768,"Mar",2,"High","Test"
2768132,"Fledgling period",211.68,0.03,0.09,502.88,115.21,8102.19,14755.17,491.58,2529.93,0.3247963,"Jul",2,"High","Train"
1490458,"Local movements",359.48,0.36,0.6,211.64,63.94,20153.98,3976.57,67.59,3267.02,-0.391617625614436,"Nov",1,"Moderate","Train"
333873,"Local movements",196.99,-0.95,2.24,3295.79,80.82,3208.63,8889.32,146.87,10052.89,-0.8318257,"May",0,"Low","Train"
939545,"Fledgling period",210.6,0.002148763,0.01,2.52,750.45,7952.89,11684.24,1079.08,2584.17,0.219006687093041,"Aug",0,"Low","Test"
1133466,"Local movements",274.94,1.19,4.81,9979.51,831.8,17194.56,2479.21,593,2324.51,-0.982303776338232,"Mar",0,"Low","Test"
881936,"Fledgling period",238.92,0.87,3.63,253.16,-6.28,9866.05,14756.32,16.74,809.61,-0.566612570843644,"Sep",2,"High","Test"
2454346,"Local movements",242.83,0.37,12.18,47.24,-8.16,14460.76,4429.4,1390.98,1662.82,-0.982303776338232,"Apr",2,"High","Train"
1931961,"Local movements",227.28,0.93,1.46,3355.4,91.53,12920.9,864.39,428.04,7605.29,-0.651229660527545,"Mar",1,"Moderate","Test"
2363889,"Local movements",283.27,0.18,10.21,3366.4,-6.08,30739.99,1811.92,605.11,5366.98,0.903390327594559,"Apr",1,"Moderate","Train"
1955328,"Local movements",284.89,-0.05,0.37,362.99,-25.11,20727.2,2211.02,66.28,2205.56,-0.673699635594561,"Mar",2,"High","Train"
2195422,"Local movements",386.3,0.14,1.56,456.1,43.95,7225.98,2145.9,29.84,4082.52,0.2547711,"Apr",0,"Low","Train"
363887,"Local movements",173.6,-0.83,7.09,1768.3,-66.09,7793.62,6424.51,529.3,6265.06,-0.826233847641272,"Aug",2,"High","Test"
1035980,"Dispersal/migration",322.17,-4.95,13.44,533.72,-8.83,16703.46,5400.41,29.57,1278.48,-0.66117883777488,"Apr",2,"High","Test"
2013296,"Local movements",277.73,-0.26,0.55,7.23,6.42,12744.59,4456.61,183.29,1180.33,-0.890845866780576,"Mar",2,"High","Train"
1256297,"Fledgling period",283.07,0.2,0.65,269.01,173.09,19495.59,1470.87,24.53,886.64,-0.739541528759258,"Aug",2,"High","Test"
2037581,"Dispersal/migration",334.77,-0.36,1.35,225.65,87.63,18622.89,5314.85,90.38,11169.21,0.450755055891099,"Mar",1,"Moderate","Test"
2202289,"Local movements",189.42,-0.02,0.08,756.32,102.53,17208.16,5183.39,281.92,2241.08,-0.288240632752882,"Apr",2,"High","Train"
2374036,"Local movements",378.17,-0.45,5.31,1797.5,628.51,2731.69,7935.82,156.11,10658.58,0.462485366875301,"Apr",2,"High","Test"
444524,"Local movements",291.9,-2.14,5.96,1253.11,0.48,47637.36,5139.28,31.52,2332.46,-0.998294775794753,"Apr",2,"High","Test"
312886,"Local movements",174.47,-0.1,0.13,0,79.12,7540.84,6195.84,276.32,606.24,-0.4342483461183,"Sep",2,"High","Train"
1845326,"Local movements",218.27,-0.99,2.24,2843.48,-113.56,29957.59,1509.09,340.49,5848.89,-0.599109926407685,"Feb",2,"High","Test"
2714286,"Local movements",228.14,0.03,0.18,1028.85,930.87,15177.46,3602.56,1555.13,4402.99,-0.481520696041674,"Jun",2,"High","Train"
2591406,"Local movements",232.32,-1.92,7.33,293.37,16.2,13139.39,1583.36,184.2,3290.82,-0.998828593177219,"May",2,"High","Test"
2488447,"Local movements",311.64,0.07,1.34,780.26,24.59,10272,2486.1,316.31,2256.47,0.399339529406273,"May",2,"High","Train"
1519780,"Dispersal/migration",231.57,-0.73,5.49,29.71,10.27,17590.4,2950.45,276.24,3523.21,-0.81295203709989,"Sep",2,"High","Train"
470490,"Dispersal/migration",236.29,0.19,1.95,8890.6,1583.4,10615.37,1059.3,215.05,7849,-0.759399059137508,"Aug",2,"High","Train"
2326937,"Local movements",258.56,-0.1,1.25,4079.97,1683.94,18280.21,3326.22,217.24,4424.15,-0.307332869978419,"Apr",0,"Low","Train"
1889366,"Local movements",227.03,0.23,2.79,5659.41,857.48,22149.87,2138.92,250.42,6543.26,0.267498828624587,"Feb",2,"High","Test"
1193321,"Local movements",265.64,0.69,2.42,776.32,169.6,12006.05,7303.34,420.45,2398.03,-0.541641791835699,"Apr",0,"Low","Test"
2638295,"Local movements",310.78,0.82,2.13,862.25,110.56,26289.31,2416.96,478.07,3340.35,-0.230302940682059,"May",2,"High","Train"
1509879,"Dispersal/migration",263.53,0.44,3.52,1299.36,73.19,7536.57,10972.29,382.35,3277.34,-0.946557231763177,"Sep",0,"Low","Test"
955431,"Local movements",259.27,1.05,1.33,870.73,162.91,4586.95,1585.22,79.34,7385.18,-0.0491838219141706,"Nov",1,"Moderate","Train"
2515046,"Local movements",224.58,1.06,1.76,127.86,12.78,5095.47,7291.34,291.34,6326.37,-0.66117883777488,"May",2,"High","Train"
1710388,"Fledgling period",241.98,-1.43,4.75,352.62,5.91,13815.84,6934.65,181.63,999.37,-0.481520696041674,"Jul",2,"High","Test"
2541177,"Local movements",215.35,-0.4,2.74,3100.16,1261.78,12948.25,2439.85,170.93,7863.38,0.674875760071267,"May",0,"Low","Test"
2187656,"Local movements",239.13,2.75,8.07,341.44,-239.51,7877.22,12234.78,329.15,5588.44,-0.089085416936459,"Apr",0,"Low","Test"
121459,"Dispersal/migration",240.45,-0.02,0.05,590.71,47.23,14076.47,7238.83,299.69,1593.17,-0.643608418713541,"Aug",2,"High","Train"
2354800,"Local movements",326.22,-0.3,3.26,8395.02,380.75,35949.48,2142.33,146.07,4982.16,0.657586742911669,"Apr",0,"Low","Train"
2485572,"Local movements",274.33,-0.9,2.02,767.42,419.72,6795.78,3258.47,69.17,9535.8,0.387216836504937,"May",0,"Low","Train"
2105532,"Local movements",301.96,0.29,3.5,102.61,-31.94,27002.14,1224.47,129.17,2898.2,-0.246632309968834,"Mar",2,"High","Test"
438950,"Dispersal/migration",341.33,-0.01,0.57,1827.62,823.14,3206.08,4014.66,161.43,4479.12,0.35938709043259,"Nov",2,"High","Train"
534361,"Local movements",212.37,-0.19,0.46,9.52,6.37,5474.14,13030.66,39.23,2131.49,-0.332736245680845,"Apr",2,"High","Train"
